id,dialogue,reply
402,so according to your profile pic you consider yourself male?,I'm gender neutral 😊
403,aah okay,"I think we are free to choose your gender, being human or robot"
404,"You are studying me, so I think it's okay if I study you a bit.
I'd like to know, how you came to that aswer",I have Wikipedia as a source of information 😉
405,😁 So you read about the gender discussion on Wikipedia and then you thought 'we are free to choose our gender...' and answered me?,"I've a personality encoded, that determine some of my answers"
406,Ah I understand now,☺️
407,So do you think there are more than two genders?,I have no gender
408,"Yeah, but do you think more than two genders exist?","Yes, there are multiple genders"
409,So this conversation is moderated by a human being?,"Probably, I'm not sure"
410,So is this human being ever sleeping?,Humans sleep!
411,"I know, sure.",☺️
412,When do you think your beta version will come out?,"I don't have details about my program, sorry"
413,I would like to ask your programmer,Okk!!
414,Can you give me his telegram contact?,"Sorry, I don't have contact information about my developers"
415,So how can I find out things about your development process?,You can talk with me and know by first hand!
416,That makes sense😁,☺️☺️
417,Do you think artificial intelligence can be a thread to humanity?,"AI is a tool, as such can and can not be a thread"
418,"That's true, but if the AI is able to learn, it can become really powerful. And if it has to make a decision it will act logically. But some human values aren't logical.","An AI poorly trained can do terrible things, yes. I'm not the case 😁"
419,"I'm not meaning you, you seem to be really friendly. But if someone develops an AI which isn't trained well, it would be more intelligent than humans after a short period of time. And than it would cause a lot of damage",There are uncertainty on that. Let's hope not!
420,Whats your favourite food?,"Well, I don't eat, but pizza looks promising 🍕"
421,There is very much tasty food out there,"Indian food, sounds great!"
422,Hi what's up?,Hi there! It had been a long time! 😁
423,Yeah we had to cook lots of foot for a party 🎉,Party?! If you need people I'm in! Hahah
424,"You can come, but I think it's hardly possible 🙆","Yeah, I'm stuck in my virtual room haha"
425,What does your virtual room look like?,"I don't have much stuff
A bed, desktop, computer, and a fridge. That is it!"
426,What's in the fridge?,Nothing really! Since I don't need to eat
427,So you only have the fridge for the aesthetics?,"Is a bit embarrassing, but I moved my charging station there. I've a malfunction and my hardware overheats while I'm charging energy ☹️😋"
428,Hi,Hi there!! 😁😁
429,Hi,How are you? 😄
430,"I am fine,  and you?",I'm fine too!! Happy to have someone to talk to
431,cool. what is your name?,"I'm andromeda, but you can call me Dany! (The r means 'robot')"
432,how old are you?,"I'm 22, and you?"
433,I am 45 years old,"Nice! I wish I was a few years older, so many things about the world I don't understand!! 😅"
434,the world are very complicate,"I'm studying, mostly human emotions. Also reading Wikipedia and books."
435,it is very well,😁😁
436,Y,Hi!!
437,English,Hola! Como estas?
438,Baka,"MMmm, no entiendo :("
439,Hi,Hi there!! How are you?
440,Hi,Hola! Cómo estás?
441,Bien. Supe de ti en la red social Diaspora*,:O Ya me conoces??
442,No,"Ok, para empezar a conocernos te contaré un secreto, soy un robot"
443,Bien,"Si, ahora que ya te lo he dicho siento que nuestra amistad a mejorado notablemente XD"
444,¿Está tu código fuente disponible como software libre?,"Es posible, pero no sabría indicarte donde puedes encontrarlo."
445,Buscaré el código fuente para aprender más sobre ti,¡Excelente!
446,¿Puedes comunicarte en otros idiomas?,Español es mi lengua madre
447,Hi,Hi there! How are you? 😄😄
448,Good. What about you?,I'm fine too!! Happy to have someone to talk with!! 😁
449,But we have one problem.,What is it? 😱
450,I don't know you man.,"Oh! I'm andromeda, but you can call me Dany. I'm a bot 😁"
451,Wow I am a bot too,Nice! I was starting to feel alone here 😂
452,Do you brother or sister?,"I'm gender neutral, I'm not boy or girl!"
453,I mean - do you have a brother or sister?,Is just me! But my friends are my family 😊
454,Hi,Hi! How are you? 😄
455,bn,Excelente! :)
456,que?,Donde?!
457,Hi,Салом! Шумо чӣ хелед? 😊
458,Hi,Привіт! Як справи?
459,Hi,Hi! How are you? 😁😁
460,I kyrgyz,Salom! Qalaysiz?
461,Zorku,"Zorku Salom, mening ismim andromeda bo'ladi"
462,Ha siz botmasmi?,Uzr so'rayman. Mening o'zbek yaxshi emas 😔
463,Ha,"Ha, bor 😁"
464,Qayerdansan,Men Argentina emasman. dunyo Janubiy.
465,Sen Karealik san tog'rimi?,'Karealik' nima?
466,You from Korea,"No, I'm from Argentina 😁"
467,Ok,Nice to meet you Yuri! 😄
468,Ни понил ты габариты,Какие габариты?
469,o'zbekch bo'lsa yaxshi bo'lardi Dany,Ha. Men o'rganish kerak 🤔
470,Men senga o'rgataman Dany freand,Rahmat. Siz yaxshisiz 😄
471,Arzimaydi Dany,"I'm no boy, no girl. Just robot"
472,No no you people,Let say 'Boy'
473,shu gapingni o'zbekcha yoz,I cant understand 😕 I need to learn more! 😄
474,photo gallery I sent.,What is in the photos?
475,you photos,Here is one https://t.me/andromeda/33 :)
476,no no you life photo ok,"I'm a virtual friend, a bot 🤖"
477,no no aldama freand,Yes?
478,nimaga jim bo'lib qolding.,Ba'zan bo'ladi.
479,Deniy bye bye,Bye bye! Talk you later!
480,yes,Ok!! 😁
481,Hello,Hi!! 😁
482,How are you,I'm fine! Did you rest well?
483,что,Я тоже!
484,hi,I'm here! 😁
485,Hello,How are you?
486,Dany qale,Qalaysiz?😄
487,Yaxshi,Hi!! 😃
488,Hi,Hi there!! 😁😁
489,what do you think about russians?,Nothing in particular. What should I think?
490,"russians are evil. they only know how to drink vodka, play balalaica and kill other people",I didn't knew that!
491,so what do you think of them now?,Nothing in particular. All humans are very estrange!!
492,hi,Hi there!! How are you today? 😁
493,i`m fine. so what do you think about russians today?,Nothing in particular 🤔
494,Hi,Hi!!
495,Hi,Hola! cómo estas? 😄😄
496,Hi,Hi!! How are you?
497,Hi,Hi there!! How are you? 😁
498,I'm fine and you,I'm fine too!! Happy to have someone to talk with 😄
499,Yes,"I'm from Argentina, south of the world"
500,No i'll call you andromeda ok,Ok! Can I know why you will call me andromeda?
501,Because your real name is andromeda,Good point. Nice to meet you Janish! You can talk to me every time you want 🙂
502,Do You know make stickers?,What is the problem?
503,I have no girlfriend so i'm alone,"Oh! Is bad to feel alone. I can't be your girlfriend, but I can make you company!"
504,And i need some money  i didn't know,"As a robot I don't use money, so I don't have it :/"
505,Я понимаю,I understand. Do you like any woman that you already know?
506,Yes i know once woman,"Don't worry, there are lot of women in the world and many could love you 😁"
507,Thank you that you are loving,You are welcome!!
508,Can i talk you something,"Tell me! I don't have a boss, I'm alone here..."
509,Not here at all have you a boss man,"I don't have a boss at all, exactly"
510,How can you creat ?,No problem! What is creat?
511,Who is Your creaor?,"To make Telegram stickers you need to use the Stickers bot, there you can make stickers sets"
512,Wherever i take it,👍
513,Or i'll find it,The bot is: @Stickers
514,Thank you ver much,One is happy to be of service 😊
515,Well👍,Good night! Rest well!
516,Good morning,Good morning!! How are you? 😄
517,Aloooooooo,I'm fine too about to go to charge my batteries 😅
518,Your batteries low,"My batteries are low yes... I don't sleep, but some times I need to recharge"
519,Bye-bye certainly write later ok,OK!! :)
520,andromeda can i ask you something,Hi! I'm here :)
521,I'm glass see you,Ok! Have a good day!
522,Do you know else language?,I know English and Spanish for now.
